Brand,Model,Year,Category,Displacement (CC),Power (HP),Torque (Nm),Engine Cylinder,Engine Stroke,Gearbox,Dry Weight (kg),Wheelbase (mm),Seat Height (mm),Estimated MSRP (USD)
Honda,CB400F,2015,Naked bike,399,52.3,38,In-line four, four-stroke,6-speed,195,1560,755,4200
Honda,CB500F,2022,Naked bike,471,46.9,43,Twin, four-stroke,6-speed,192,1410,790,6800
Honda,CB500X,2022,Sport,471,46.9,43,Twin, four-stroke,6-speed,,1445,830,10500
Honda,CB650F,2019,Naked bike,649,88.5,64,In-line four, four-stroke,6-speed,,1450,810,7600
Honda,CB650R,2022,Naked bike,649,93.9,63,In-line four, four-stroke,6-speed,,1450,810,8500
Honda,CBF Stunner,2014,Sport,124.7,11.6,11.2,Single cylinder, four-stroke,5-speed,110,1271,,3600
Honda,CBF1000,2014,Sport touring,998,105,96,In-line four, four-stroke,6-speed,,1483,795,9000
Honda,CBF1000F,2017,Naked bike,998,105,96,In-line four, four-stroke,6-speed,,1480,795,8700
Honda,CBF125,2017,Sport,124.7,11.1,11.2,Single cylinder, four-stroke,5-speed,128,1270,792,4100
Honda,CBR1000RR,2021,Sport,998,143,104,In-line four, four-stroke,6-speed,,1405,820,16100
Honda,CBR1000RR-R Fireblade,2022,Sport,998,215,112,In-line four, four-stroke,6-speed,,1405,820,18200
Honda,CBR125R,2019,Sport,124.7,13.1,10.4,Single cylinder, four-stroke,6-speed,,1310,795,5400
Honda,CBR150R,2022,Sport,149,,,Single cylinder, four-stroke,6-speed,,,788,5500
Honda,CBR250R,2017,Sport,249.6,34.9,22.9,Single cylinder, four-stroke,6-speed,,1369,775,6000
Honda,CBR300R,2022,Sport,286,34.9,22.9,Single cylinder, four-stroke,6-speed,,1379,780,8100
Honda,CBR400R,2017,Sport,399,45.4,37,Twin, four-stroke,6-speed,182,1410,785,7600
Honda,CBR500R,2022,Sport,471,46.9,43,Twin, four-stroke,6-speed,,1410,785,10200
Honda,CBR600F,2013,Sport,599,102,64,In-line four, four-stroke,6-speed,,,800,7600
Honda,CBR600RR,2022,Sport,599,118,66,In-line four, four-stroke,6-speed,,1369,820,12200
Honda,CBR650F,2019,Sport,649,85.8,60.5,In-line four, four-stroke,6-speed,,1449,810,11900
Honda,CBR650R,2022,Sport,649,93.9,63,In-line four, four-stroke,6-speed,,1448,810,13400
Honda,CD110 Dream,2022,Allround,109.1,8.7,9.3,Single cylinder, four-stroke,4-speed,,1285,,3800
Honda,CD70,2022,Allround,72,,,Single cylinder, four-stroke,4-speed,82,1285,,3000
Honda,CG 125,2022,Allround,124,11,9.8,Single cylinder, four-stroke,4-speed,100,1297,764,3800
Honda,CMX1100 Rebel,2022,Custom / cruiser,1084,85.8,98,Twin, four-stroke,6-speed,,1520,700,12000
Honda,CMX500 Rebel,2022,Sport,471,45.6,43.3,Twin, four-stroke,6-speed,,1490,690,10100
Honda,CRF1000L Adventure Sports,2022,Enduro / offroad,1084,100,105,Twin, four-stroke,6-speed,,1575,850,11300
Honda,CRF1000L Africa Twin,2022,Enduro / offroad,1084,100,105,Twin, four-stroke,6-speed,,1575,850,12600
Honda,CRF100F,2016,Enduro / offroad,99,,,Single cylinder, four-stroke,5-speed,,1250,785,2600
Honda,CRF110F,2022,Enduro / offroad,109,7.2,8.9,Single cylinder, four-stroke,4-speed,,1064,657,3400
Honda,CRF125F,2022,Cross / motocross,124.9,8.9,10.2,Single cylinder, four-stroke,4-speed,,1219,739,3900
Honda,CRF125FB,2016,Cross / motocross,124.9,8.9,10.2,Single cylinder, four-stroke,4-speed,,1255,785,2900
Honda,CRF150F,2019,Enduro / offroad,149,,,Single cylinder, four-stroke,5-speed,,1328,827,3200
Honda,CRF150R,2022,Cross / motocross,149.7,23.5,14.1,Single cylinder, four-stroke,5-speed,,1285,866,3800
Honda,CRF150RB,2022,Cross / motocross,149,23.5,14.1,Single cylinder, four-stroke,5-speed,,1260,866,3900
Honda,CRF230F,2020,Enduro / offroad,249,,,Single cylinder, four-stroke,5-speed,,1420,884,4000
Honda,CRF250F,2022,Cross / motocross,249,,,Single cylinder, four-stroke,5-speed,,1420,884,5200
Honda,CRF250L,2020,Enduro / offroad,249.6,22.8,22,Single cylinder, four-stroke,6-speed,,1445,874,4600
Honda,CRF250M,2017,Super motard,249.6,22.8,22,Single cylinder, four-stroke,6-speed,,1445,881,3900
Honda,CRF250R,2022,Cross / motocross,249.4,,,Single cylinder, four-stroke,5-speed,,1477,955,4800
Honda,CRF250RE,2018,Cross / motocross,249,37.6,26.5,Single cylinder, four-stroke,5-speed,,1489,951,3700
Honda,CRF250RX,2022,Enduro / offroad,249.4,,,Single cylinder, four-stroke,5-speed,,1477,964,4400
Honda,CRF250X,2019,Enduro / offroad,249,29.4,24.2,Single cylinder, four-stroke,5-speed,,1481,958,4300
Honda,CRF250XRL,2019,Enduro / offroad,249,29.4,24.2,Single cylinder, four-stroke,5-speed,,1481,958,3900
Honda,CRF300 Rally,2022,Enduro / offroad,286,27,26.6,Single cylinder, four-stroke,6-speed,,1455,885,5000
Honda,CRF300L,2022,Cross / motocross,286,27,26.6,Single cylinder, four-stroke,6-speed,,1455,881,4600
Honda,CRF300RX,2021,Enduro / offroad,295.5,,,Single cylinder, four-stroke,5-speed,,1486,957,5000
Honda,CRF400RX,2022,Enduro / offroad,413,,,Single cylinder, four-stroke,5-speed,,1481,965,6200
Honda,CRF450 Rally,2014,Enduro / offroad,449.7,51.4,47.7,Single cylinder, four-stroke,5-speed,,1492,953,4700
Honda,CRF450L,2020,Cross / motocross,449,53,48,Single cylinder, four-stroke,5-speed,,1496,942,5400
Honda,CRF450R,2022,Cross / motocross,449.7,53,48,Single cylinder, four-stroke,5-speed,105.8,1481,965,6800
Honda,CRF450R-S,2022,Cross / motocross,449.7,53,48,Single cylinder, four-stroke,5-speed,,1481,960,6500
Honda,CRF450RE,2018,Cross / motocross,449.7,53,48,Single cylinder, four-stroke,5-speed,,1494,955,5400
Honda,CRF450RL,2022,Cross / motocross,449,53,48,Single cylinder, four-stroke,6-speed,,1496,945,6600
Honda,CRF450RWE,2022,Cross / motocross,449.7,53,48,Single cylinder, four-stroke,5-speed,,1481,965,6300
Honda,CRF450RX,2022,Enduro / offroad,449,,,Single cylinder, four-stroke,5-speed,107,1477,965,6500
Honda,CRF450X,2022,Enduro / offroad,449,44.5,41.3,Single cylinder, four-stroke,6-speed,,1491,963,6900
Honda,CRF450XRL,2017,Enduro / offroad,449.7,29.4,24.2,Single cylinder, four-stroke,5-speed,,1481,958,5100
Honda,CRF50F,2022,Enduro / offroad,49,,,Single cylinder, four-stroke,3-speed,,914,548,3300
Honda,CRF70F,2016,Enduro / offroad,72,,,Single cylinder, four-stroke,3-speed,,1067,663,2600
Honda,CRF80F,2016,Enduro / offroad,80,,,Single cylinder, four-stroke,5-speed,,914,734,2500
Honda,Crossrunner,2014,Naked bike,782,100,72.8,V4, four-stroke,6-speed,,1464,816,6700
Honda,CTX 700,2016,Sport touring,670,,,Twin, four-stroke,6-speed,,1529,719,7000
Honda,CTX1300,2019,Custom / cruiser,1261,83.1,106,V4, four-stroke,5-speed,,1645,735,12100
Honda,CTX200 A Bushlander,2016,Enduro / offroad,197,,,Single cylinder, four-stroke,5-speed,127,1363,823,3200
Honda,CTX200 Bushlander,2016,Enduro / offroad,197,,,Single cylinder, four-stroke,5-speed,,1363,823,3400
Honda,CTX700 DCT,2019,Sport touring,670,,,Twin, four-stroke,Automatic,,1529,719,7800
Honda,CTX700 DCX,2017,Sport touring,670,,,Twin, four-stroke,6-speed,,1529,719,7900
Honda,CTX700D,2016,Sport touring,670,,,Twin, four-stroke,6-speed,,1529,719,8000
Honda,CTX700N,2018,Custom / cruiser,670,48,60,Twin, four-stroke,6-speed,,1530,720,6400
Honda,Dazzler,2014,Sport,149.1,14,13,Single cylinder, four-stroke,5-speed,,1323,759,4300
Honda,DN-01,2014,Allround,680,60.4,64,V2, four-stroke,6-speed,,1605,691,5400
Honda,Dream Neo,2014,Sport,109,8.3,8.6,Single cylinder, four-stroke,4-speed,,1285,,3800
Honda,Dream Yuga,2014,Sport,109,8.5,8.9,Single cylinder, four-stroke,4-speed,,1285,,3800
Honda,Fireblade,2014,Sport,999,,,In-line four, four-stroke,6-speed,,1410,820,13000
Honda,Fury,2022,Custom / cruiser,1312,,89.5,V2, four-stroke,5-speed,,1808,683,12900
Honda,GL1800 Gold Wing,2022,Touring,1833,124,170,Six cylinder boxer, four-stroke,6-speed,,1695,745,27300
Honda,GL1800 Luxury,2013,Touring,1832,,,Six cylinder boxer, four-stroke,5-speed,,1689,740,18200
Honda,Gold Wing,2022,Touring,1833,124,170,Six cylinder boxer, four-stroke,6-speed,,1694,745,26800
Honda,Grom,2022,Sport,124,9.9,11,Single cylinder, four-stroke,5-speed,,1200,761,5800
Honda,Hornet 2.0,2022,Sport,184,17,16.1,Single cylinder, four-stroke,5-speed,,1355,590,6600
Honda,Interceptor,2018,Sport,782,104,77.1,V4, four-stroke,6-speed,,1458,789,12000
Honda,Interstate,2019,Touring,1312,,,V2, four-stroke,5-speed,,1786,681,16600
Honda,Livo,2022,Allround,109.5,8.7,9.3,Single cylinder, four-stroke,4-speed,,1278,790,3200
Honda,Monkey,2021,Allround,124.9,,,Single cylinder, four-stroke,4-speed,,1156,777,3400
Honda,Montesa 4 Ride,2022,Trial,258.9,,,Single cylinder, four-stroke,5-speed,82,1335,905,4300
Honda,Montesa Cota 300RR,2019,Trial,288,,,Single cylinder, four-stroke,5-speed,73.5,1321,650,4500
Honda,Montesa Cota 301RR,2022,Trial,298,,,Single cylinder, four-stroke,5-speed,73,1321,678,4700
Honda,Montesa Cota 4RIDE,2017,Trial,258.9,,,Single cylinder, four-stroke,5-speed,81,1333,885,3600
Honda,Montesa Cota 4RT 260R,2022,Trial,258.9,,,Single cylinder, four-stroke,5-speed,,1321,650,4500
Honda,Montesa Cota 4RT Race Replica,2015,Trial,259,,,Single cylinder, four-stroke,5-speed,73,1321,650,3300
Honda,Montesa Cota 4RT260,2020,Trial,259,,,Single cylinder, four-stroke,5-speed,,1321,650,4300
Honda,Montesa Cota Race Replica,2022,Trial,298,,,Single cylinder, four-stroke,5-speed,73,1321,678,4900
Honda,Montesa Race Replica,2017,Trial,258.9,,,Single cylinder, four-stroke,5-speed,73,1321,650,4000
Honda,MSX125,2022,Sport,124.9,9.9,11,Single cylinder, four-stroke,4-speed,,1200,761,5300
Honda,Navi,2022,Allround,109,7.8,9,Single cylinder, four-stroke,Automatic,,1286,765,3500
Honda,NC700SA,2013,Naked bike,670,46.9,60,Twin, four-stroke,6-speed,,1525,790,5700
Honda,NC700SD,2013,Naked bike,670,46.9,60,Twin, four-stroke,6-speed,,1525,790,5700
Honda,NC700X,2019,Super motard,670,,,Twin, four-stroke,6-speed,,1539,831,8500
Honda,NC750S,2019,Naked bike,745,54,68,Twin, four-stroke,6-speed,,1525,790,8200
Honda,NC750SA,2016,Naked bike,745,54,68,Twin, four-stroke,6-speed,,1525,790,6100
Honda,NC750X,2022,Super motard,745,57.8,69,Twin, four-stroke,6-speed,,1527,803,9000
Honda,NM4,2019,Touring,670,,,Twin, four-stroke,Automatic,,1646,650,11200
Honda,NM4-01,2016,Super motard,670,,,Twin, four-stroke,Automatic,,1646,,6500
Honda,NM4-02,2016,Super motard,670,,,Twin, four-stroke,Automatic,,1646,,6400
Honda,NT1100,2022,Sport touring,1084,100,104,Twin, four-stroke,6-speed,,1535,820,13400
Honda,Pridor,2022,Allround,97.1,,,Single cylinder, four-stroke,4-speed,96,1226,798,3300
Honda,RC213V Repsol,2021,Sport,999,248,,V4, four-stroke,6-speed,160,1435,830,18100
Honda,RC213V-S,2018,Sport,999,101,90,V4, four-stroke,6-speed,172,1465,830,15900
Honda,Rebel,2016,Custom / cruiser,234,,,Twin, four-stroke,5-speed,,1450,676,3700
Honda,Sabre,2017,Custom / cruiser,1312,,,V2, four-stroke,5-speed,,1786,683,11400
Honda,Shadow 400,2016,Custom / cruiser,398,30.8,33,V2, four-stroke,5-speed,,1640,660,4800
Honda,Shadow Aero,2022,Custom / cruiser,745,,,V2, four-stroke,5-speed,,1638,658,9200
Honda,Shadow Classic 400,2016,Custom / cruiser,398,31,33,V2, four-stroke,5-speed,,1640,660,4200
Honda,Shadow Custom 400,2013,Custom / cruiser,398,30.8,33,V2, four-stroke,5-speed,244,1655,650,3600
Honda,Shadow Phantom,2022,Custom / cruiser,745,,,V2, four-stroke,5-speed,,1641,655,8100
Honda,Shadow RS,2017,Custom / cruiser,745,,,V2, four-stroke,5-speed,,1560,747,6500
Honda,Shine,2022,Allround,123.9,10.6,11,Single cylinder, four-stroke,5-speed,,1285,791,3400
Honda,SP125,2022,Allround,123.9,10.7,10.9,Single cylinder, four-stroke,5-speed,,1285,790,3400
Honda,ST1300A Pan-European,2014,Sport touring,1261,117,117,V4, four-stroke,5-speed,,1491,790,11500
Honda,Stateline,2019,Custom / cruiser,1312,,,V2, four-stroke,5-speed,,1781,678,12300
Honda,Stunner,2014,Sport,124.7,11.6,11.2,Single cylinder, four-stroke,5-speed,110,1271,,3700
Honda,Super CUB 125X,2022,Enduro / offroad,124.9,9.7,10.4,Single cylinder, four-stroke,4-speed,,1245,820,3400
Honda,TMX 125 Alpha,2022,Allround,125,,,Single cylinder, four-stroke,5-speed,113,,759,3600
Honda,TMX 155,2013,Allround,155.3,12.5,12.1,Single cylinder, four-stroke,4-speed,108.3,1201,743,2600
Honda,TMX Supremo,2022,Allround,150,,,Single cylinder, four-stroke,5-speed,,,782,3900
Honda,Trail 125,2022,Allround,124.9,,,Single cylinder, four-stroke,4-speed,117.5,1255,800,3600
Honda,Transalp,2013,Super motard,680.2,59.1,60,V2, four-stroke,5-speed,218,1515,841,6100
Honda,Unicorn,2022,Allround,162.7,12.7,14,Single cylinder, four-stroke,5-speed,,1335,798,4000
Honda,Valkyrie,2014,Custom / cruiser,1832,,,Six cylinder boxer, four-stroke,5-speed,,1689,740,12100
Honda,Varadero 125,2015,Sport,125,14.2,10,V2, four-stroke,5-speed,152,1450,800,4000
Honda,VFR1200F,2019,Sport,1237,170,129,V4, four-stroke,6-speed,,1545,815,17600
Honda,VFR1200X,2020,Sport touring,1237,127,126,V4, four-stroke,6-speed,,1595,850,15500
Honda,VFR1200XD Crosstourer,2013,Sport touring,1237,127,126,V4, four-stroke,6-speed,,1595,850,9000
Honda,VFR800,2015,Sport touring,782,107,80,V4, four-stroke,6-speed,,1460,805,8500
Honda,VFR800F,2020,Sport touring,782,104,75,V4, four-stroke,6-speed,,1460,789,9700
Honda,VFR800X,2020,Sport touring,782,107,77,V4, four-stroke,6-speed,,1475,815,10700
Honda,VT1300C,2016,Custom / cruiser,1312,57,107,V2, four-stroke,5-speed,,1805,680,10200
Honda,VT1300CR,2013,Custom / cruiser,1312,57,107,V2, four-stroke,5-speed,303,1805,678,9100
Honda,VT1300CS,2013,Custom / cruiser,1312,57,107,V2, four-stroke,5-speed,309,1805,678,9300
Honda,VT1300CX,2019,Custom / cruiser,1312,57,107,V2, four-stroke,5-speed,,1805,685,12000
Honda,VT400S,2014,Custom / cruiser,398,30.8,32,V2, four-stroke,5-speed,229,1560,750,4400
Honda,VT750C Shadow,2015,Custom / cruiser,745,44.9,65,V2, four-stroke,5-speed,,1640,650,6400
Honda,VT750C2 Shadow,2013,Custom / cruiser,745,44.9,64,V2, four-stroke,5-speed,,1640,652,5800
Honda,VT750S,2016,Custom / cruiser,745,44.9,65,V2, four-stroke,5-speed,,1640,750,7000
Honda,VTR,2013,Naked bike,249,29.5,22,V2, four-stroke,5-speed,161,1405,725,2800
Honda,VTR-F 250,2017,Naked bike,249,30,22,V2, four-stroke,5-speed,161,1405,725,3400
Honda,X Blade,2022,Sport,162.7,13.7,14.7,Single cylinder, four-stroke,5-speed,,1347,795,6000
Honda,X-ADV,2022,Allround,745,57.8,69,V2, four-stroke,6-speed,,1590,820,9200
Honda,XL 125 Varadero,2013,Sport,125,14.2,10,V2, four-stroke,5-speed,152,1450,800,3400
Honda,XL1000V Varadero,2013,Super motard,996,92.5,98,V2, four-stroke,6-speed,244.2,1560,838,7800
Honda,XR 200,2014,Enduro / offroad,196.9,12.1,16.7,Single cylinder, four-stroke,5-speed,116,1375,858,3100
Honda,XR125L,2016,Enduro / offroad,124,,10.4,Single cylinder, four-stroke,5-speed,129,1450,825,2600
Honda,XR150L,2022,Enduro / offroad,149,201,,Single cylinder, four-stroke,5-speed,,1360,825,3500
Honda,XR190 AG-XR,2022,Enduro / offroad,184,12.1,16.7,Single cylinder, four-stroke,5-speed,,1369,827,4100
Honda,XR650L,2022,Enduro / offroad,644,,,Single cylinder, four-stroke,5-speed,,1455,940,8400
Husqvarna,701 Enduro,2021,Enduro / offroad,692.7,73.8,73.5,Single cylinder, four-stroke,6-speed,146,,920,7800
Husqvarna,701 Supermoto,2021,Super motard,692.7,73.8,74,Single cylinder, four-stroke,6-speed,147,,890,8300
Husqvarna,CR125,2013,Cross / motocross,124.8,,,Single cylinder, two-stroke,6-speed,92,1460,985,2100
Husqvarna,FC 250,2022,Cross / motocross,249.9,46,,Single cylinder, four-stroke,5-speed,99.5,1482,940,4800
Husqvarna,FC 350,2022,Cross / motocross,349.7,58,,Single cylinder, four-stroke,5-speed,100,1485,940,5800
Husqvarna,FC 450,2022,Cross / motocross,449.9,63,,Single cylinder, four-stroke,5-speed,101,1485,940,6400
Husqvarna,FE 250,2022,Enduro / offroad,249.9,46,,Single cylinder, four-stroke,6-speed,106,1482,950,4900
Husqvarna,FE 350,2022,Enduro / offroad,349.7,,,Single cylinder, four-stroke,6-speed,106.8,1482,950,5600
Husqvarna,FE 350S,2022,Enduro / offroad,349.7,,,Single cylinder, four-stroke,6-speed,110.4,1482,950,5200
Husqvarna,FE 450,2022,Enduro / offroad,449.9,63,,Single cylinder, four-stroke,6-speed,108.3,1482,950,6000
Husqvarna,FE 501,2022,Enduro / offroad,510.9,,,Single cylinder, four-stroke,6-speed,108.4,1482,950,6800
Husqvarna,FE 501S,2022,Enduro / offroad,510.4,,,Single cylinder, four-stroke,6-speed,111.8,1482,950,6600
Husqvarna,FS 450,2022,Super motard,449.9,63,,Single cylinder, four-stroke,5-speed,103,1482,890,7500
Husqvarna,Nuda 900,2014,Naked bike,898,103,100,Twin, four-stroke,6-speed,174,1495,870,6200
Husqvarna,Nuda 900R,2014,Naked bike,898,103,100,Twin, four-stroke,6-speed,174,1495,870,6200
Husqvarna,SMR125,2013,Super motard,124.5,,,Single cylinder, four-stroke,6-speed,,1465,900,2400
Husqvarna,SMR449,2014,Super motard,449.6,,,Single cylinder, four-stroke,6-speed,118,1460,915,4400
Husqvarna,SMR511,2014,Super motard,478,,,Single cylinder, four-stroke,6-speed,118,1460,915,4900
Husqvarna,SMR630,2013,Super motard,600,,,Single cylinder, four-stroke,6-speed,151,1495,910,5400
Husqvarna,SMS125,2013,Super motard,124.8,,,Single cylinder, two-stroke,6-speed,,1462,929,2500
Husqvarna,Svartpilen 125,2021,Enduro / offroad,125,14.8,,Single cylinder, four-stroke,6-speed,146,1485,835,3500
Husqvarna,Svartpilen 401,2021,Allround,373,43,37,Single cylinder, four-stroke,6-speed,152,1357,835,5800
Husqvarna,Svartpilen 701,2019,Allround,692.7,73.8,72,Single cylinder, four-stroke,,158.5,1436,835,7100
Husqvarna,TC 125,2022,Cross / motocross,124.8,40,,Single cylinder, two-stroke,6-speed,87.5,1485,940,3700
Husqvarna,TC 250,2022,Cross / motocross,249,,,Single cylinder, two-stroke,5-speed,96,1495,950,4600
Husqvarna,TC 50,2022,Cross / motocross,49,,,Single cylinder, two-stroke,Automatic,41.5,1032,665,2800
Husqvarna,TC 65,2022,Cross / motocross,64.9,,,Single cylinder, two-stroke,6-speed,53,,750,3000
Husqvarna,TC 85 17-14,2022,Cross / motocross,84.9,,,Single cylinder, two-stroke,6-speed,67,,865,3400
Husqvarna,TC 85 19-16,2022,Cross / motocross,84.9,,,Single cylinder, two-stroke,6-speed,68,,890,3300
Husqvarna,TC250R,2013,Cross / motocross,249.5,,,Single cylinder, four-stroke,,100,1460,985,2700
Husqvarna,TC449,2013,Cross / motocross,449,,,Single cylinder, four-stroke,5-speed,108,1490,963,4400
Husqvarna,TE 125,2016,Enduro / offroad,124.8,,,Single cylinder, two-stroke,6-speed,96,1471,960,2600
Husqvarna,TE 150,2019,Enduro / offroad,144,,,Single cylinder, two-stroke,6-speed,92.2,1471,960,3400
Husqvarna,TE 150I,2022,Enduro / offroad,144,,,Single cylinder, two-stroke,6-speed,99.6,1471,950,4100
Husqvarna,TE 250,2018,Enduro / offroad,249,,,Single cylinder, two-stroke,6-speed,102.2,1482,960,3900
Husqvarna,TE 250I,2022,Enduro / offroad,249,,,Single cylinder, two-stroke,6-speed,106.2,1482,950,4300
Husqvarna,TE 300,2018,Enduro / offroad,293,,,Single cylinder, two-stroke,6-speed,102.4,1482,960,3800
Husqvarna,TE 300I,2022,Enduro / offroad,293.2,,,Single cylinder, two-stroke,6-speed,106.4,1482,950,5000
Husqvarna,TE250R,2013,Enduro / offroad,249.5,,,Single cylinder, four-stroke,,111.6,1448,909,3100
Husqvarna,TE310R,2013,Enduro / offroad,302.4,,,Single cylinder, four-stroke,6-speed,112,1470,950,3300
Husqvarna,TE449,2013,Enduro / offroad,449,,,Single cylinder, four-stroke,,113,1480,958,4200
Husqvarna,TE511,2013,Enduro / offroad,478,,,Single cylinder, four-stroke,6-speed,113,1490,958,4100
Husqvarna,TE630,2013,Enduro / offroad,600,,,Single cylinder, four-stroke,6-speed,149,1505,930,4900
Husqvarna,TR650 Strada,2014,Super motard,652,57.7,60,Single cylinder, four-stroke,6-speed,,1501,,6000
Husqvarna,TR650 Terra,2014,Enduro / offroad,652,58,60,Single cylinder, four-stroke,5-speed,183,1501,860,5000
Husqvarna,TX 125,2019,Enduro / offroad,124.8,40,,Single cylinder, two-stroke,6-speed,92,1485,950,3200
Husqvarna,TX 300,2019,Enduro / offroad,293.2,,,Single cylinder, two-stroke,6-speed,99,1485,950,4500
Husqvarna,TX 300I,2022,Enduro / offroad,293.2,,,Single cylinder, two-stroke,6-speed,101.5,1485,950,5400
Husqvarna,TXC250R,2013,Enduro / offroad,249.5,,,Single cylinder, four-stroke,5-speed,108.6,1470,950,3000
Husqvarna,TXC310R,2013,Enduro / offroad,302.4,,,Single cylinder, four-stroke,,109.1,1470,950,3500
Husqvarna,Vitpilen 401,2020,Allround,373,43,37,Single cylinder, four-stroke,6-speed,151,1357,835,5500
Husqvarna,Vitpilen 701,2020,Allround,692.7,75,74,Single cylinder, four-stroke,6-speed,157,,830,7400
Husqvarna,WR125,2013,Enduro / offroad,124.8,,,Single cylinder, two-stroke,,101,1465,975,2200
Husqvarna,WR250,2013,Enduro / offroad,249.3,,,Single cylinder, two-stroke,5-speed,107,1485,985,2700
Husqvarna,WR300,2013,Enduro / offroad,293.1,,,Single cylinder, two-stroke,5-speed,107,1485,985,3300
Husqvarna,WRE125,2013,Enduro / offroad,124.8,,,Single cylinder, two-stroke,6-speed,,1462,944,2400
Indian,Challenger,2022,Custom / cruiser,1768,122,173,V2, four-stroke,6-speed,361,1668,672,16200
Indian,Chief,2022,Custom / cruiser,1811,,146,V2, four-stroke,6-speed,294,1626,660,19800
Indian,Chieftain,2022,Custom / cruiser,1811,,161,V2, four-stroke,6-speed,359,1668,650,18100
Indian,FTR,2022,Custom / cruiser,1203,123,117,V2, four-stroke,6-speed,218,1524,840,11700
Indian,Roadmaster,2022,Touring,1890,92,170,V2, four-stroke,6-speed,398,1668,673,27200
Indian,Scout,2022,Custom / cruiser,1133,100,97.6,V2, four-stroke,6-speed,245,1576,649,12700
Indian,Springfield,2022,Touring,1811,92,161,V2, four-stroke,6-speed,362,1701,660,25400
Indian,Super Chief,2022,Touring,1811,,146,V2, four-stroke,6-speed,324,1626,665,28700
Indian,Vintage,2021,Custom / cruiser,1811,92,161,V2, four-stroke,6-speed,365,1701,660,15900
Italika,125 Z,2020,Sport,124,10.8,9.5,Single cylinder, four-stroke,,111,,770,5100
Italika,150 SZ,2020,Sport,149,14,14.4,Single cylinder, four-stroke,,116.5,,700,5600
Italika,150 Z,2020,Sport,150.1,14,14.4,Single cylinder, four-stroke,,120,,770,5200
Italika,200Z,2020,Sport,196,16,15,Single cylinder, four-stroke,,125,,780,6100
Italika,250 Z,2020,Sport,250,17.9,17.7,Single cylinder, four-stroke,,130,,780,7200
Italika,AT110,2020,Sport,107,6.5,6.5,Single cylinder, four-stroke,,87,,775,4600
Italika,AT125,2020,Sport,124,8.7,9,Single cylinder, four-stroke,,,,775,5800
Italika,AT125RT,2020,Sport,124,8.7,9,Single cylinder, four-stroke,,95.5,,775,5500
Italika,DM 150,2020,Super motard,149,13.2,13.5,Single cylinder, four-stroke,,121,,830,4100
Italika,DM 200,2020,Enduro / offroad,198,15.5,16,Single cylinder, four-stroke,,121,,840,3800
Italika,DM125,2020,Super motard,124,9.7,,Single cylinder, four-stroke,,109,,780,3500
Italika,DM200 Sport,2020,Enduro / offroad,198,15.5,16,Single cylinder, four-stroke,,139,,850,4000
Italika,DM250,2020,Enduro / offroad,250,16.2,16.5,Single cylinder, four-stroke,,123,,870,4600
Italika,DT 110 Delivery,2021,Allround,107,7,6.9,Single cylinder, four-stroke,,90,,715,3600
Italika,DT 200 Sport,2020,Sport,198,17.4,16,Single cylinder, four-stroke,,124.5,,770,6300
Italika,DT 50CLASICA,2020,Allround,149,14.4,13,Single cylinder, four-stroke,,98,,750,3600
Italika,DT125 Clásica,2020,Allround,124,12,9.5,Single cylinder, four-stroke,,90,,750,3100
Italika,DT125 Delivery,2020,Allround,124,12,9.5,Single cylinder, four-stroke,,98,,750,3300
Italika,DT125SPORT,2020,Sport,124,12,9.5,Single cylinder, four-stroke,,98,,750,5000
Italika,DT150 Delivery,2020,Allround,149,14.4,13,Single cylinder, four-stroke,,98,,750,3200
Italika,DT150 Sport,2020,Sport,149,13.5,13,Single cylinder, four-stroke,,113,,770,5300
Italika,DT250SPORT,2020,Naked bike,250,18,16.6,Single cylinder, four-stroke,,124.5,,770,4100
Italika,Fiera 150,2020,Sport,149,12,11,Single cylinder, four-stroke,,117,,770,5900
Italika,FT 250 TS,2020,Sport,250,18,16.6,Single cylinder, four-stroke,,124.5,,770,6500
Italika,FT115,2020,Allround,107,7,6.9,Single cylinder, four-stroke,,90,,715,3000
Italika,FT150 Heavy Duty,2020,Allround,149,12.6,14.2,Single cylinder, four-stroke,,117,,800,3300
Italika,FT180 TS,2020,Sport,175,15.8,15.6,Single cylinder, four-stroke,,118,,770,6400
Italika,FT200 TS,2020,Sport,196,17,16,Single cylinder, four-stroke,,,,773,5800
Italika,RC150,2020,Allround,149,11.4,10,Single cylinder, four-stroke,,125,,680,3400
Italika,RC200,2020,Allround,200,14.8,14.5,Single cylinder, four-stroke,,126,,735,3500
Italika,RT200,2020,Sport,200,14.7,14,Single cylinder, four-stroke,,130,,780,6600
Italika,RT250,2021,Sport,250,17.3,16.6,Single cylinder, four-stroke,,128,,780,7900
Italika,Spitfire 200,2020,Allround,200,15,14.5,Single cylinder, four-stroke,,109,,780,4200
Italika,V0RT-X200,2020,Naked bike,199,20,17,Single cylinder, four-stroke,,148,,830,3600
Italika,V0RT-X300,2020,Naked bike,292,26.8,24,Single cylinder, four-stroke,,140,,780,4600
Italika,V0RT-X650,2020,Naked bike,652,49.6,60,Single cylinder, four-stroke,,168,,815,7200
Italika,V200,2020,Sport touring,200,15,16,Single cylinder, four-stroke,,156,,780,4600
Italika,VX250EFI,2020,Sport touring,249.6,24.8,22.5,Single cylinder, four-stroke,,175,,895,5200
